round,ps 0.5,ps 0.2,ps 0.1,ps 0.07,rs 0.5,rs 0.2,rs 0.1,rs 0.07
0,0.127965235,0.127965235,0.127965235,0.127965235,0.127965235,0.127965235,0.127965235,0.127965235
1,0.232157464,0.281799591,0.307361963,0.316513292,0.18502045,0.188752556,0.201226994,0.205879346
2,0.348210634,0.440541922,0.467689162,0.463599182,0.251482618,0.263496933,0.281237219,0.263752556
3,0.454652352,0.557464213,0.566768916,0.540388548,0.319836401,0.337269939,0.332208589,0.295552147
4,0.537423313,0.623159509,0.620143149,0.573517382,0.385429448,0.401840491,0.35797546,0.307310838
5,0.597903885,0.662269939,0.6450409,0.587678937,0.444785276,0.451124744,0.374948875,0.310787321
6,0.640899796,0.687269939,0.65894683,0.5950409,0.497648262,0.491820041,0.389928425,0.315746421
7,0.668660532,0.701533742,0.669171779,0.599437628,0.544478528,0.527147239,0.407924335,0.309764826
8,0.688599182,0.712372188,0.675664622,0.603629857,0.582770961,0.559406953,0.411298569,0.312576687
9,0.704192229,0.720296524,0.679907975,0.60603272,0.612167689,0.584815951,0.423108384,0.309611452
10,0.713241309,0.725051125,0.682310838,0.607208589,0.634509202,0.601431493,0.434611452,0.31303681
11,0.72091002,0.728936605,0.684304703,0.608384458,0.652453988,0.615490798,0.427147239,0.321472393
12,0.727607362,0.732208589,0.685378323,0.609151329,0.668353783,0.62597137,0.432566462,0.326278119
13,0.731850716,0.735480573,0.687269939,0.609458078,0.680572597,0.635071575,0.432157464,0.329550102
14,0.736247444,0.737730061,0.688496933,0.609458078,0.689263804,0.646216769,0.437474438,0.329907975
15,0.739417178,0.739570552,0.689263804,0.609764826,0.701278119,0.650102249,0.441257669,0.330623722
16,0.742740286,0.741462168,0.690030675,0.609253579,0.707873211,0.659253579,0.446932515,0.336349693
17,0.745194274,0.743047035,0.692331288,0.609867076,0.713854806,0.6650818,0.439314928,0.33609407
18,0.74698364,0.744427403,0.69299591,0.610582822,0.718762781,0.671523517,0.447137014,0.337423313
19,0.748875256,0.745501022,0.694018405,0.610633947,0.723619632,0.675869121,0.450460123,0.334867076
20,0.750204499,0.746165644,0.694989775,0.610224949,0.728220859,0.677965235,0.451891616,0.338343558
