LDP-min,acc1,LDP-max,acc2,LDP,acc3,UniS,acc4,APES,acc5,S-APES,acc6
1,0.127965235,1,0.127965235,1,0.127965235,1,0.127965235,1,0.127965235,1,0.127965235
136.33,0.442586912,4000,0.4,4000,0.37,50,0.38,35,0.4,20.7,0.429192229
272.66,0.478732106,7850,0.535010224,7850,0.508997955,81.3,0.508997955,61.5,0.527760736,41.4,0.618200409
408.99,0.503936605,15700,0.661605317,15700,0.656134969,162.6,0.656134969,123,0.65690184,62.1,0.693353783
545.32,0.520552147,23550,0.723261759,23550,0.704243354,243.9,0.704243354,184.5,0.725306748,82.8,0.724182004
681.65,0.535122699,31400,0.740695297,31400,0.716666667,325.2,0.716666667,246,0.742740286,103.5,0.738139059
817.98,0.543302658,39250,0.749233129,39250,0.724335378,406.5,0.724335378,307.5,0.750664622,124.2,0.746216769
954.31,0.549642127,47100,0.755572597,47100,0.730521472,487.8,0.730521472,369,0.754498978,144.9,0.752607362
1090.64,0.554192229,54950,0.760940695,54950,0.735480573,569.1,0.735480573,430.5,0.757413088,165.6,0.756441718
1226.97,0.557259714,62800,0.765899796,62800,0.739928425,650.4,0.739928425,492,0.761451943,186.3,0.758588957
1363.3,0.55904908,70650,0.770398773,70650,0.743047035,731.7,0.743047035,553.5,0.765132924,207,0.760736196
1499.63,0.560071575,78500,0.773875256,78500,0.747494888,813,0.747494888,615,0.768404908,227.7,0.762576687
1635.96,0.560429448,86350,0.77694274,86350,0.750920245,894.3,0.750920245,676.5,0.771779141,248.4,0.76390593
1772.29,0.560838446,94200,0.780010225,94200,0.753118609,975.6,0.753118609,738,0.775153374,269.1,0.765695297
1908.62,0.560940695,102050,0.782617587,102050,0.755777096,1056.9,0.755777096,799.5,0.777607362,289.8,0.76692229
2044.95,0.561196319,109900,0.785224949,109900,0.757873211,1138.2,0.757873211,861,0.779601227,310.5,0.767484663
2181.28,0.5612,117750,0.787116564,117750,0.760173824,1219.5,0.760173824,922.5,0.781697342,331.2,0.767740286
2317.61,0.561203681,125600,0.788496933,125600,0.762883436,1300.8,0.762883436,984,0.783333333,351.9,0.768251534
2453.94,0.561207362,133450,0.789928425,133450,0.764366053,1382.1,0.764366053,1045.5,0.784253579,372.6,0.768507157
2590.27,0.561211043,141300,0.791308793,141300,0.765644172,1463.4,0.765644172,1107,0.784867076,393.3,0.769325153
2726.6,0.561214724,149150,0.79202454,149150,0.767484663,1544.7,0.767484663,1168.5,0.785838446,414,0.769529652
2862.93,0.561218405,157000,0.792944785,157000,0.768251534,1626,0.768251534,1230,0.787116564,434.7,0.769785276
2999.26,0.561222086,164850,0.79406953,164850,0.768916155,1707.3,0.768916155,1291.5,0.788650307,455.4,0.770194274
3135.59,0.561225767,172700,0.795347648,172700,0.769836401,1788.6,0.769836401,1353,0.789417178,476.1,0.771472393
3271.92,0.561229448,180550,0.795961145,180550,0.770654397,1869.9,0.770654397,1414.5,0.790337423,496.8,0.77198364
3408.25,0.561233129,188400,0.796676892,188400,0.771370143,1951.2,0.771370143,1476,0.79095092,517.5,0.772801636
3544.58,0.56123681,196250,0.79708589,196250,0.771830266,2032.5,0.771830266,1537.5,0.791615542,538.2,0.77305726
3680.91,0.561240491,204100,0.797801636,204100,0.772290389,2113.8,0.772290389,1599,0.79202454,558.9,0.773670757
3817.24,0.561244172,211950,0.798364008,211950,0.772852761,2195.1,0.772852761,1660.5,0.792484663,579.6,0.774437628
3953.57,0.561247853,219800,0.798568507,219800,0.772903885,2276.4,0.772903885,1722,0.792893661,600.3,0.775
4089.9,0.561251534,227650,0.798773006,227650,0.773261759,2357.7,0.773261759,1783.5,0.793813906,621,0.775613497
4226.23,0.561255215,235500,0.798875256,235500,0.773670757,2439,0.773670757,1845,0.794274029,641.7,0.776226994
4362.56,0.561258896,243350,0.799335378,243350,0.774079755,2520.3,0.774079755,1906.5,0.794478528,662.4,0.776738241
4498.89,0.561262577,251200,0.799897751,251200,0.774233129,2601.6,0.774233129,1968,0.7950409,683.1,0.777658487
4635.22,0.561266258,259050,0.800153374,259050,0.774386503,2682.9,0.774386503,2029.5,0.795603272,703.8,0.778323108
4771.55,0.561269939,266900,0.800255624,266900,0.774642127,2764.2,0.774642127,2091,0.795961145,724.5,0.778425358
4907.88,0.56127362,274750,0.800511247,274750,0.774744376,2845.5,0.774744376,2152.5,0.796267894,745.2,0.779038855
5044.21,0.561277301,282600,0.800613497,282600,0.774897751,2926.8,0.774897751,2214,0.796319018,765.9,0.779396728
5180.54,0.561280982,290450,0.800869121,290450,0.775051125,3008.1,0.775051125,2275.5,0.796523517,786.6,0.780163599
5589.53,0.561284663,298300,0.800869121,298300,0.775102249,3089.4,0.775102249,2337,0.796676892,807.3,0.78093047
5725.86,0.561288344,306150,0.80107362,306150,0.775204499,3170.7,0.775204499,2398.5,0.796676892,828,0.781390593
5998.52,0.561292025,314000,0.801124744,314000,0.775306748,3252,0.775306748,2460,0.796676892,848.7,0.781748466
6271.18,0.561295706,,,321850,0.775491616,3333.3,0.775491616,2706,0.797,869.4,0.782157464
6680.17,0.561299387,,,329700,0.775609613,3414.6,0.775609613,2952,0.7973,890.1,0.783026585
7089.16,0.561303067,,,337550,0.775710961,3495.9,0.775710961,3198,0.7976,910.8,0.783282209
7907.14,0.561306748,,,345400,0.775794233,3577.2,0.775794233,3444,0.7979,931.5,0.783691207
9543.1,0.561310429,,,353250,0.775908855,3658.5,0.775908855,3690,0.7982,952.2,0.783742331
11179.06,0.56131411,,,361100,0.776043354,3739.8,0.776043354,3936,0.7985,972.9,0.783997955
14450.98,0.561317791,,,368950,0.776147648,3821.1,0.776147648,4182,0.7988,993.6,0.784509202
27538.66,0.561321472,,,376800,0.776293047,3902.4,0.776293047,4428,0.7991,1014.3,0.784969325
43898.26,0.561325153,,,384650,0.776381595,3983.7,0.776381595,4674,0.7994,1035,0.78502045
60257.86,0.561328834,,,392500,0.77653272,4065,0.77653272,4920,0.7997,1055.7,0.785122699
92977.06,0.561332515,,,400350,0.776727198,4146.3,0.776727198,5166,0.8,1076.4,0.785480573
122424.34,0.561336196,,,408200,0.77683272,4227.6,0.77683272,,,1097.1,0.785633947
,,,,416050,0.77693272,4308.9,0.77693272,,,1117.8,0.785838446
,,,,423900,0.77703272,4390.2,0.77703272,,,1138.5,0.78599182
,,,,431750,0.777103272,4471.5,0.777103272,,,1159.2,0.786451943
,,,,439600,0.777327198,4552.8,0.777327198,,,1179.9,0.786707566
,,,,447450,0.777427198,4634.1,0.777427198,,,1200.6,0.787014315
,,,,455300,0.77753272,4715.4,0.77753272,,,1221.3,0.787423313
,,,,463150,0.77760272,4796.7,0.77760272,,,1242,0.787832311
,,,,471000,0.77773272,4878,0.77773272,,,1262.7,0.787832311
,,,,478850,0.77783272,4959.3,0.77783272,,,1283.4,0.78793456
,,,,486700,0.777927198,5040.6,0.777927198,,,1304.1,0.788190184
,,,,494550,0.77803272,5121.9,0.77803272,,,1324.8,0.788394683
,,,,502400,0.778103272,5203.2,0.778103272,,,1345.5,0.788599182
,,,,510250,0.778227198,5284.5,0.778227198,,,1366.2,0.788701431
,,,,518100,0.778327198,5365.8,0.778327198,,,1386.9,0.789059305
,,,,525950,0.778427198,5447.1,0.778427198,,,1407.6,0.789366053
,,,,533800,0.77853272,5528.4,0.77853272,,,1428.3,0.789570552
,,,,541650,0.778703272,5609.7,0.778703272,,,1449,0.789570552
,,,,549500,0.778803272,5691,0.778803272,,,1469.7,0.789723926
,,,,557350,0.778903272,5772.3,0.778903272,,,1490.4,0.789877301
,,,,565200,0.77903272,5853.6,0.77903272,,,1511.1,0.790132924
,,,,573050,0.779281033,6016.2,0.779281033,,,1531.8,0.790137423
,,,,580900,0.779303272,6097.5,0.779303272,,,1552.5,0.790286299
,,,,588750,0.77943272,6178.8,0.77943272,,,1573.2,0.790337423
,,,,596600,0.77952272,6260.1,0.77952272,,,1593.9,0.790439673
,,,,604450,0.779603272,6341.4,0.779603272,,,1614.6,0.790593047
,,,,612300,0.779723272,6422.7,0.779723272,,,1635.3,0.790644172
,,,,620150,0.77983272,6504,0.77983272,,,1656,0.790593047
,,,,628000,0.77993272,6585.3,0.77993272,,,1676.7,0.790746421
,,,,635850,0.78003272,6666.6,0.78003272,,,1697.4,0.790899796
,,,,643700,0.78013272,6747.9,0.78013272,,,1718.1,0.790797546
,,,,651550,0.78053272,7235.7,0.78053272,,,1738.8,0.790899796
,,,,659400,0.78103272,8211.3,0.78103272,,,1821.6,0.790899796
,,,,667250,0.78103272,8455.2,0.78103272,,,1842.3,0.791002045
,,,,675100,0.78103272,8699.1,0.78103272,,,1863,0.791104294
,,,,682950,0.78103272,9186.9,0.78103272,,,1883.7,0.791257669
,,,,690800,0.78103272,10894.2,0.78103272,,,1904.4,0.791308793
,,,,698650,0.78103272,13333.2,0.78103272,,,1966.5,0.791411043
,,,,706500,0.78103272,25528.2,0.78103272,,,2256.3,0.791820041
,,,,714350,0.78103272,45853.2,0.78103272,,,2587.5,0.792126789
,,,,722200,0.78103272,76584.6,0.78103272,,,11852.82,0.794638232
,,,,730050,0.78103272,123413.4,0.78103272,,,21118.14,0.795
,,,,737900,0.78103272,170242.2,0.78103272,,,30383.46,0.7951
,,,,745750,0.78103272,,,,,104506.02,0.7952
,,,,753600,0.78103272,,,,,,
,,,,761450,0.78103272,,,,,,
,,,,769300,0.78103272,,,,,,
,,,,777150,0.78103272,,,,,,
,,,,785000,0.78103272,,,,,,
,,,,792850,0.781083845,,,,,,
,,,,800700,0.781083845,,,,,,
,,,,808550,0.781083845,,,,,,
,,,,816400,0.781083845,,,,,,
,,,,824250,0.781083845,,,,,,
,,,,832100,0.781083845,,,,,,
,,,,,,,,,,,
