acc1,personalLDP-min,acc2,personal LDP-max,acc3,personal LDP,acc4,Exist Shuffle,acc5,PerS,acc6,PerS+user sample q=0.2,acc7,PerS+topkp 0.2
0.114201454,1,0.114201454,1,0.114201454,1,0.114201454,1,0.114201454,1,0.114201454,1,0.127666667,1
0.364824325,136.33,0.462754869,7850,0.455636345,7850,0.455636345,656,0.429704581,451,0.402755885,200.5,0.400666667,118.68
0.401212691,272.66,0.628413078,15700,0.618294605,15700,0.618294605,1312,0.599989831,902,0.552600803,401,0.595722222,237.36
0.424568567,408.99,0.69842884,23550,0.678242742,23550,0.678242742,1968,0.670666599,1353,0.624853816,601.5,0.677222222,356.04
0.457873595,545.32,0.732597753,31400,0.708242233,31400,0.708242233,2624,0.71083541,1804,0.662378604,802,0.7155,474.72
0.46183963,681.65,0.752326232,39250,0.727004627,39250,0.727004627,3280,0.732546906,2255,0.686073117,1002.5,0.738611111,593.4
0.465449789,817.98,0.766105659,47100,0.735241776,47100,0.735241776,3936,0.748004271,2706,0.701835562,1203,0.750388889,712.08
0.471975136,954.31,0.776580058,54950,0.742004373,54950,0.742004373,4592,0.759902375,3157,0.713784512,1403.5,0.759166667,830.76
0.478703869,1090.64,0.783291809,62800,0.743580617,62800,0.743580617,5248,0.767936137,3608,0.72008949,1604,0.764444444,949.44
0.483890222,1226.97,0.788478161,70650,0.744699242,70650,0.744699242,5904,0.77296995,4059,0.722072507,1804.5,0.769611111,1068.12
0.488161336,1363.3,0.792596736,78500,0.745817867,78500,0.745817867,6560,0.77759699,4510,0.722225047,2005,0.773166667,1186.8
0.489991763,1499.63,0.795291605,86350,0.74622464,86350,0.74622464,7216,0.782122337,4961,0.723191132,2205.5,0.775,1305.48
0.491483246,1635.96,0.798240708,94200,0.74652972,94200,0.74652972,7872,0.786342604,5412,0.723699598,2406,0.776777778,1424.16
0.492906951,1772.29,0.800376265,102050,0.747089032,102050,0.747089032,8528,0.787868002,5863,0.72517415,2606.5,0.778,1542.84
0.493466212,1908.62,0.803020288,109900,0.747648345,109900,0.747648345,9184,0.789800173,6314,0.725784309,2807,0.780111111,1661.52
0.495703463,2044.95,0.805308385,117750,0.74846189,117750,0.74846189,9840,0.790613718,6765,0.72710632,3007.5,0.780722222,1780.2
0.496466162,2181.28,0.806884629,125600,0.748868663,125600,0.748868663,10496,0.792240809,7216,0.727360553,3208,0.781666667,1898.88
0.496822088,2317.61,0.808308334,133450,0.749377129,133450,0.749377129,11152,0.793664514,7667,0.728784258,3408.5,0.782888889,2017.56
0.497279707,2453.94,0.809223572,141300,0.749936442,141300,0.749936442,11808,0.795240759,8118,0.731174048,3609,0.784277778,2136.24
0.49728,2590.27,0.810189658,149150,0.749936442,149150,0.749936442,12464,0.795952611,8569,0.73219098,3809.5,0.785277778,2254.92
0.497280293,2800,0.811816749,157000,0.750597448,157000,0.750597448,13120,0.797427162,9020,0.733157065,4010,0.785777778,2373.6
0.497280586,3200,,,0.751410993,164850,0.751410993,13776,0.798189861,9471,0.734224844,4210.5,0.7865,2492.28
0.497280879,3700,,,0.751970306,172700,0.751970306,14432,0.799003407,9922,0.734987543,4411,0.788,2610.96
0.497281172,4300,,,0.752275385,180550,0.752275385,15088,0.799816952,10373,0.735445162,4611.5,0.788611111,2729.64
0.497281464,5000,,,0.752427925,188400,0.752427925,15744,0.800884731,10824,0.738394265,4812,0.79,2848.32
0.497281757,6000,,,0.753444857,196250,0.753444857,16400,0.802003356,11275,0.73936035,5012.5,0.790722222,2967
0.49728205,7850,,,0.753800783,204100,0.753800783,17056,0.802460975,11726,0.739817969,5213,0.791277778,3085.68
0.497282343,15700,,,0.754410942,211950,0.754410942,17712,0.802511822,12177,0.740885748,5413.5,0.791722222,3204.36
0.497282636,23550,,,0.754817715,219800,0.754817715,18368,0.802410129,12628,0.741343367,5614,0.793111111,3323.04
0.497282929,31400,,,0.755529567,227650,0.755529567,19024,0.802918595,13079,0.7415976,5814.5,0.793888889,3441.72
0.497283222,39250,,,0.756393959,235500,0.756393959,19680,0.803427061,13530,0.742156913,6015,0.794,3560.4
0.497283515,47100,,,0.756444806,243350,0.756444806,20336,0.803782987,13981,0.742512839,6215.5,0.794611111,3679.08
0.497283807,54950,,,0.757105812,251200,0.757105812,20992,0.80388468,14432,0.742563685,6416,0.794833333,3797.76
0.4972841,62800,,,0.757156658,259050,0.757156658,21648,0.803986373,14883,0.742614532,6616.5,0.795555556,3916.44
0.497284393,70650,,,0.757563431,266900,0.757563431,22304,0.804494839,15334,0.742767072,6817,0.796444444,4035.12
0.497284686,78500,,,0.757614278,274750,0.757614278,22960,0.805003305,15785,0.742919612,7017.5,0.797055556,4153.8
0.497284979,86350,,,0.757614278,282600,0.757614278,23616,0.805308385,16236,0.743072151,7218,0.797166667,4272.48
0.497285272,94200,,,0.757665124,290450,0.757665124,24272,0.805562618,16687,0.743428077,7418.5,0.797333333,4391.16
0.497285565,102050,,,0.757868511,298300,0.757868511,24928,0.805562618,17138,0.745970407,7619,0.797666667,4509.84
0.497285858,125600,,,0.758122744,306150,0.758122744,25584,0.806071084,17589,0.747343265,7819.5,0.798277778,4628.52
0.49728615,133450,,,0.75847867,314000,0.75847867,26240,0.80642701,18040,0.747443265,8020,0.798888889,4747.2
