round,user-grad eps=0.1,user-grad step eps [99%0.1 1%10] (lap),user-grad step eps [99%0.1 1%10] (clip lap),client-grad + eps 0.1,client-grad step eps [99%0.1 1%10]
0,0.112235243,0.112235243,0.112235243,0.112235243,0.112235243
1,0.392241066,0.392241066,0.392677779,0.347550768,0.344202635
2,0.555644516,0.555644516,0.561248999,0.281388747,0.186549239
3,0.621151467,0.621151467,0.63032244,0.220903996,0.150520416
4,0.674794381,0.674794381,0.683455856,0.185821384,0.127010699
5,0.694155324,0.694155324,0.704490865,0.167188296,0.117039086
6,0.704126938,0.704126938,0.720503676,0.153286265,0.10823204
7,0.710386491,0.710386491,0.729092365,0.143896936,0.104738336
8,0.714462479,0.714462479,0.734041779,0.136836742,0.10015285
9,0.716937186,0.716937186,0.737608268,0.130649975,0.09804207
10,0.716354902,0.716354902,0.73855448,0.126210059,0.095640148
11,0.716282117,0.716282117,0.739646262,0.123953708,0.093820511
12,0.717009972,0.717009972,0.738772836,0.120460004,0.091636946
