round,Ours,Ours+subsample,Exist Shuffle,PerLDP,PerLDP-min,PerLDP-max,NoDP
0,0.112235243,0.112235243,0.112235243,0.117902996,0.12532097,0.093509272,0.112235243
1,0.392459422,0.360797729,0.392241066,0.116262482,0.125820257,0.125035663,0.423466046
2,0.560084431,0.54894825,0.555644516,0.110699001,0.089087019,0.139372325,0.642259262
3,0.629885727,0.646480821,0.621151467,0.108345221,0.118045649,0.099072753,0.735497489
4,0.682946357,0.68549385,0.674794381,0.109700428,0.111554922,0.123252496,0.781352355
5,0.704927578,0.712206129,0.694155324,0.114764622,0.110699001,0.131383738,0.801586724
6,0.72043089,0.7414659,0.704126938,0.110556348,0.113552068,0.114336662,0.816143824
7,0.728728437,0.746924813,0.710386491,0.111412268,0.111840228,0.126890157,0.826115438
8,0.734114564,0.754931218,0.714462479,0.12296719,0.107631954,0.127389444,0.830628139
9,0.73789941,0.765849043,0.716937186,0.113052782,0.114265335,0.115192582,0.834340199
10,0.738627265,0.767013611,0.716354902,0.108131241,0.110128388,0.108987161,0.838852901
11,0.739136764,0.767887037,0.716282117,0.105206847,0.113480742,0.119614836,0.841036466
12,0.738627265,0.777349152,0.717009972,0.10085592,0.116761769,0.113195435,0.843583958
