round,Ours,PerLDP-min,PerLDP-max,Exist Shuffle,PerLDP,NoDP
0,0.112235243,0.112235243,0.117902996,0.112235242739646,0.112235243,0.112235243
1,0.392459422,0.342382997,0.337803138,0.392386637,0.392386637,0.423466046
2,0.560084431,0.45818473,0.526462197,0.542615911,0.542615911,0.642259262
3,0.629885727,0.50185603,0.622396576,0.605502584,0.605502584,0.735497489
4,0.682946357,0.572385181,0.681169757,0.66234806,0.66234806,0.781352355
5,0.704927578,0.57660674,0.710485021,0.683674212,0.683674212,0.801586724
6,0.72043089,0.578135235,0.725463623,0.692554043,0.692554043,0.816143824
7,0.728728437,0.58097387,0.746005706,0.699832593,0.699832593,0.826115438
8,0.734114564,0.576533954,0.756847361,0.700414877,0.700414877,0.830628139
9,0.73789941,0.572530752,0.760984308,0.700997161,0.700997161,0.834340199
10,0.738627265,0.568018051,0.761198288,0.70150666,0.70150666,0.838852901
11,0.739136764,0.562413567,0.768116976,0.702016158,0.702016158,0.841036466
12,0.738627265,0.556517942,0.769115549,0.702234515,0.702234515,0.843583958
