round,Ours,Ours+subsample,Exist Shuffle thre,PerLDP,PerLDP-min,PerLDP-max,NoDP
0,0.112235243,0.112235243,0.117902996,0.112235243,0.12532097,0.093509272,0.112235243
1,0.403450033,0.3659655,0.316975749,0.110633962,0.153922967,0.152425107,0.423466046
2,0.581410583,0.54763811,0.505206847,0.118276439,0.12724679,0.179814551,0.642259262
3,0.660528423,0.666351263,0.601783167,0.123662566,0.182025678,0.145221113,0.735497489
4,0.706601645,0.698231312,0.666547789,0.14527986,0.163052782,0.183380884,0.781352355
5,0.736079773,0.729456292,0.696504993,0.145789359,0.159343795,0.189657632,0.801586724
6,0.752820438,0.753839435,0.711055635,0.146517214,0.163980029,0.171326676,0.816143824
7,0.763665478,0.76621297,0.732168331,0.147026712,0.157346648,0.185164051,0.826115438
8,0.770725671,0.773564306,0.742011412,0.145862144,0.151783167,0.189942939,0.830628139
9,0.775311158,0.786010627,0.749429387,0.144260863,0.166191155,0.17360913,0.834340199
10,0.779678288,0.79227018,0.748573466,0.14302351,0.155492154,0.165335235,0.838852901
11,0.781789068,0.795472742,0.757703281,0.14302351,0.163623395,0.17510699,0.841036466
12,0.784263775,0.798529733,0.756134094,0.142295655,0.167261056,0.167189729,0.843583958
