acc1,Ours,acc2,PerLDP-min,acc3,PerLDP-max,acc4,Exist Shuffle,acc5,PerLDP,acc6,PerS+sample
0.117902996,0,0.112235243,0,0.112235243,0,0.117902996,0,0.117902996,0,0.117902996,0
0.305206847,4.811637074,0.342382997,39.13721276,0.413348861,937.9973364,0.315834522,10.00276525,0.315834522,937.9973364,0.293937233,3.432221868
0.478601997,9.623274148,0.45818473,78.27442552,0.598733532,1875.994673,0.507132668,20.00553049,0.507132668,1875.994673,0.454279601,6.864443736
0.583523538,14.43491122,0.50185603,117.4116383,0.677341873,2813.992009,0.605848787,30.00829574,0.605848787,2813.992009,0.605420827,10.2966656
0.648787447,19.2465483,0.572385181,156.548851,0.719266322,3751.989346,0.671968616,40.01106098,0.671968616,3751.989346,0.654136947,13.72888747
0.688017118,24.05818537,0.57660674,195.6860638,0.747434311,4689.986682,0.701426534,50.01382623,0.701426534,4689.986682,0.697075606,17.16110934
0.712482168,28.86982244,0.578135235,234.8232766,0.764102191,5627.984019,0.715049929,60.01659147,0.715049929,5627.984019,0.716333809,20.59333121
0.732239658,33.68145952,0.58097387,273.9604893,0.773928233,6565.981355,0.735663338,70.01935672,0.735663338,6565.981355,0.734379458,24.02555307
0.745791726,38.49309659,0.581,25000,0.781643497,7503.978692,0.7467903,80.02212196,0.7467903,7503.978692,0.740156919,27.45777494
0.752710414,43.30473367,,,0.787029624,8441.976028,0.750927247,90.02488721,0.750927247,8441.976028,0.757275321,30.88999681
0.758416548,48.11637074,,,0.792852464,9379.973364,0.752639087,100.0276525,0.752639087,9379.973364,0.758915835,34.32221868
0.766904422,52.92800781,,,,,0.761269615,110.0304177,0.761269615,10317.9707,0.766547789,37.75444055
0.770042796,57.73964489,,,,,0.761911555,120.0331829,0.761911555,11255.96804,0.768616262,41.18666241
0.774821683,62.55128196,,,,,0.761982882,130.0359482,0.761982882,12193.96537,0.769329529,44.61888428
0.776747504,67.36291904,,,,,0.762482168,140.0387134,0.762482168,13131.96271,0.774750357,48.05110615
0.778031384,72.17455611,,,,,0.763837375,150.0414787,0.763837375,14069.96005,0.77639087,51.48332802
0.781526391,76.98619318,,,,,0.763908702,160.0442439,0.763908702,15007.95738,0.776533524,54.91554988
0.782382311,81.79783026,,,,,0.765620542,170.0470092,0.765620542,15945.95472,0.780171184,58.34777175
0.782667618,86.60946733,,,,,0.766262482,180.0497744,0.766262482,16883.95206,0.783737518,61.77999362
0.783095578,91.42110441,,,,,0.766333809,190.0525397,0.766333809,17821.94939,0.785092725,65.21221549
0.785235378,96.23274148,,,,,0.766690442,200.0553049,0.766690442,18759.94673,0.786305278,68.64443736
0.788516405,101.0443786,,,,,0.766833096,210.0580702,0.766833096,19697.94407,0.798002853,72.07665922
0.790656205,105.8560156,,,,,0.770684736,220.0608354,0.770684736,20635.9414,,
,,,,,,0.772253923,230.0636006,0.772253923,21573.93874,,
,,,,,,0.772895863,240.0663659,0.772895863,22511.93607,,
,,,,,,0.773537803,250.0691311,0.773537803,23449.93341,,
,,,,,,0.775891583,260.0718964,0.775891583,24387.93075,,
,,,,,,0.77703281,270.0746616,0.77703281,25325.92808,,
,,,,,,0.778887304,280.0774269,0.778887304,26263.92542,,
,,,,,,0.783594864,290.0801921,0.783594864,27201.92276,,
,,,,,,0.783737518,300.0829574,0.783737518,28139.92009,,
